[1/11/23, 3:41:34 p. m.] Gen Filtrada: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Solo las personas en este chat pueden leerlos, escucharlos o compartirlos.
[1/11/23, 3:41:34 p. m.] Venegas: ‎Venegas creó este grupo.
[10/11/23, 1:33:53 p. m.] Gen Filtrada: ‎Venegas te añadió.
[10/11/23, 1:45:01 p. m.] Ashley Padilla: ‎Se eliminó este mensaje.
[10/11/23, 7:48:35 p. m.] Venegas: Qué vieron en Interés? Estuvo muy feo?
[10/11/23, 7:56:08 p. m.] Luis Fer Amey: Diay terminamos de ver precios y lo relacionó con la segunda derivada pero ya pues
[10/11/23, 7:56:28 p. m.] Ashley Padilla: Hoy terminamos toda la materia del semestre ya
[10/11/23, 7:56:38 p. m.] Sebas: Tiene que calcular los mínimos locales y usar matriz
[10/11/23, 7:56:56 p. m.] Javier Hernández: A pura hessiana orlada saco eso
[10/11/23, 7:57:02 p. m.] Javier Hernández: Ez
[10/11/23, 7:57:29 p. m.] Javier Hernández: Sebas lo hace con menores dominantes
[11/11/23, 1:39:06 p. m.] Eyeri: ‎Eyeri se unió usando el enlace de invitación de este grupo
‎[14/11/23, 1:46:03 p. m.] Andrés Montero: ‎imagen omitida
‎[14/11/23, 2:28:12 p. m.] Venegas: ‎sticker omitido
[14/11/23, 2:28:22 p. m.] Venegas: Que clase  más despiche
[14/11/23, 2:28:36 p. m.] Ashley Padilla: Por qué?
‎[14/11/23, 2:28:49 p. m.] Venegas: ‎sticker omitido
[14/11/23, 2:30:35 p. m.] Venegas: Jugamos mierda monopolística, se acuerda?
[14/11/23, 2:30:39 p. m.] Venegas: Vieras que mostro😂😂😂😂
[14/11/23, 2:30:49 p. m.] Venegas: @50687122913 mande la foto mi rey
[14/11/23, 2:31:02 p. m.] Ashley Padilla: Que buenooooo
[14/11/23, 2:31:07 p. m.] Ashley Padilla: El profe jugó? Jajajaj
[14/11/23, 2:31:27 p. m.] Ashley Padilla: Como que Juan Pablo si fue a clases? Que es esa traición
[14/11/23, 2:33:28 p. m.] Venegas: Gerard le dijo, pero dijo que no jajaja
[14/11/23, 2:38:06 p. m.] Juan Pablo M.: me obligaron fue
‎[14/11/23, 2:38:19 p. m.] Juan Pablo M.: ‎imagen omitida
‎[14/11/23, 2:38:54 p. m.] Venegas: ‎sticker omitido
[14/11/23, 2:39:09 p. m.] Gerard: Nada de obligado, una buena comida, buena conversación y buena compañía y se dejó convencer 😉
[14/11/23, 2:39:21 p. m.] Ashley Padilla: 😳
[14/11/23, 2:39:27 p. m.] Juan Pablo M.: 😳
[14/11/23, 2:39:27 p. m.] Ashley Padilla: @50687122913 tan fácil te vendes?
[14/11/23, 2:40:32 p. m.] Venegas: 😳
