"","mdl1","mdl2","mdl3","mdl4"
"1",5301.82311977716,4977.10934393638,4073.19515669516,3862.6390625
"2",3999.10744484596,3798.05248490916,3454.5476071191,3301.55816001957
"3",3551.1142296777,3390.69340708971,3197.47264895509,3078.78563605739
"4",3280.89882851904,3107.17844985442,2875.20129647912,2855.02125500993
"5",3135.82312507799,3144.94921517493,2826.21142383874,2654.88371622082
"6",2964.7027622304,2871.54360648204,2711.22929346316,2625.76386396276
"7",2857.68319966756,2753.52107561377,2624.96121684117,2411.80285379481
"8",0,0,0,0
"9",0,0,0,0
"10",0,0,0,0
