"","x","modelo","valor"
"1",1,"mdl1",5301.82311977716
"2",1,"mdl2",4977.10934393638
"3",1,"mdl3",4073.19515669516
"4",1,"mdl4",3862.6390625
"5",2,"mdl1",3999.10744484596
"6",2,"mdl2",3798.05248490916
"7",2,"mdl3",3454.5476071191
"8",2,"mdl4",3301.55816001957
"9",3,"mdl1",3551.1142296777
"10",3,"mdl2",3390.69340708971
"11",3,"mdl3",3197.47264895509
"12",3,"mdl4",3078.78563605739
"13",4,"mdl1",3280.89882851904
"14",4,"mdl2",3107.17844985442
"15",4,"mdl3",2875.20129647912
"16",4,"mdl4",2855.02125500993
"17",5,"mdl1",3135.82312507799
"18",5,"mdl2",3144.94921517493
"19",5,"mdl3",2826.21142383874
"20",5,"mdl4",2654.88371622082
"21",6,"mdl1",2964.7027622304
"22",6,"mdl2",2871.54360648204
"23",6,"mdl3",2711.22929346316
"24",6,"mdl4",2625.76386396276
"25",7,"mdl1",2857.68319966756
"26",7,"mdl2",2753.52107561377
"27",7,"mdl3",2624.96121684117
"28",7,"mdl4",2411.80285379481
"29",8,"mdl1",2925.17844494175
"30",8,"mdl2",2845.86415889136
"31",8,"mdl3",2413.21299498413
"32",8,"mdl4",2379.17032483211
"33",9,"mdl1",2753.32272934401
"34",9,"mdl2",2708.27035414469
"35",9,"mdl3",2365.09125618464
"36",9,"mdl4",2371.95412706795
"37",10,"mdl1",2835.44688592394
"38",10,"mdl2",2659.53850574244
"39",10,"mdl3",2499.58685777985
"40",10,"mdl4",2271.16092584673
