"","x","modelo","valor"
"1",1,"mdl1",5561
"2",1,"mdl2",5305
"3",1,"mdl3",4924
"4",1,"mdl4",4652
"5",2,"mdl1",5561
"6",2,"mdl2",5305
"7",2,"mdl3",4144
"8",2,"mdl4",3944
"9",3,"mdl1",3586
"10",3,"mdl2",5305
"11",3,"mdl3",3544
"12",3,"mdl4",3440
"13",4,"mdl1",4427
"14",4,"mdl2",4463
"15",4,"mdl3",3558
"16",4,"mdl4",3044
"17",5,"mdl1",5561
"18",5,"mdl2",5305
"19",5,"mdl3",2930
"20",5,"mdl4",2660
"21",6,"mdl1",3621
"22",6,"mdl2",3471
"23",6,"mdl3",2837
"24",6,"mdl4",2470
"25",7,"mdl1",5561
"26",7,"mdl2",2999
"27",7,"mdl3",2743
"28",7,"mdl4",2894
"29",8,"mdl1",4278
"30",8,"mdl2",3223
"31",8,"mdl3",2582
"32",8,"mdl4",2342
"33",9,"mdl1",4311
"34",9,"mdl2",3205
"35",9,"mdl3",2370
"36",9,"mdl4",2290
"37",10,"mdl1",3319
"38",10,"mdl2",3487
"39",10,"mdl3",2547
"40",10,"mdl4",2489
