autor,negativo,neutral,positivo,compuesto,polaridad,subjetivo,objetivo
Adrian,0.050430107526881714,0.7964731182795699,0.14238709677419356,0.1396451612903226,0.03620788197977138,0.22634389206969852,0.7736561079303015
Andrés Montero,0.0244468085106383,0.7932127659574468,0.1823404255319149,0.16109148936170212,0.05019112093580179,0.16658607350096713,0.8334139264990329
Anthony,0.035034722222222224,0.8486458333333333,0.10938194444444443,0.05882777777777778,-0.009052015692640693,0.11499049272486772,0.8850095072751323
Ashley Padilla,0.0712719298245614,0.7309736842105263,0.1889824561403509,0.09134649122807016,0.05004647034252298,0.18763053467000834,0.8123694653299917
Corella,0.034364406779661016,0.7282118644067797,0.2374322033898305,0.15771610169491526,0.11073345439870863,0.20383188727468388,0.7961681127253161
Dixon Montero,0.06608035714285714,0.8077142857142857,0.0815625,-0.005837499999999998,0.011142998866213153,0.10320649092970521,0.8967935090702948
Fabian Brenes,0.005675675675675676,0.8268378378378378,0.14048648648648648,0.1488945945945946,0.04714714714714714,0.21028528528528528,0.7897147147147148
Felix,0.02096551724137931,0.805103448275862,0.13944827586206895,0.06859655172413792,-0.0034482758620689668,0.045689655172413794,0.9543103448275863
Gen,0.052,0.948,0.0,-0.148,0.0,0.025,0.975
Gerard,0.03606896551724138,0.7913103448275862,0.13813793103448277,0.04227931034482759,0.05890804597701149,0.14597701149425288,0.8540229885057471
Gustavo Amador,0.06458823529411764,0.7766323529411765,0.1440735294117647,0.06728235294117646,0.04156512605042017,0.12572303921568628,0.8742769607843137
Javier Hernández,0.04595471698113208,0.8196943396226415,0.1230377358490566,0.08037962264150943,0.03647836178496556,0.1296341719077568,0.8703658280922432
Juan Pablo,0.0,0.7105,0.2895,0.293275,0.0,0.0,1.0
Juan Pablo M.,0.056255102040816324,0.8036938775510204,0.12985714285714284,0.046639795918367345,-0.0068877551020408165,0.09489795918367348,0.9051020408163266
Lau Villacís,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Luis Fer Amey,0.12033333333333333,0.7162555555555555,0.1634111111111111,0.04878222222222222,0.05020151607651608,0.19773241419074752,0.8022675858092525
Marco Guardia,0.07463888888888888,0.7697777777777778,0.15558333333333332,0.038099999999999995,0.003472222222222222,0.16844135802469137,0.8315586419753086
Paula,0.016789473684210528,0.8933684210526316,0.08984210526315789,0.04210789473684211,0.012426900584795321,0.031432748538011694,0.9685672514619883
Santiago Actuariales,0.00555,0.9339999999999999,0.0605,0.08011499999999999,-0.01604166666666667,0.06625,0.9337500000000001
Sebas,0.07431034482758622,0.718103448275862,0.20758620689655172,0.0786103448275862,0.08743842364532019,0.18910509031198686,0.8108949096880131
Sofía Bocker,0.023775510204081633,0.897061224489796,0.07916326530612244,0.04527755102040816,0.035581765173601905,0.07015306122448979,0.9298469387755102
Venegas,0.05904058624577226,0.821620067643743,0.11370011273957159,0.037047688838782414,0.013970749836096513,0.1147631606774786,0.8852368393225214
~ Alejandro Brenes,0.0,1.0,0.0,0.0,0.0,0.03333333333333333,0.9666666666666667
~ Alonso 💥,0.0,0.9527272727272728,0.04727272727272727,0.05777272727272727,0.013798701298701298,0.14734848484848484,0.8526515151515152
~ Dominick Rodríguez Trejos,0.0,0.8945000000000001,0.1055,0.17,0.0,0.0,1.0
~ Eyeri,0.0,0.767,0.23299999999999998,0.24655000000000002,0.0,0.0,1.0
~ Heizel Obando Leiva,0.0,0.7626000000000001,0.2374,0.34,0.0,0.0,1.0
~ Jeremy,0.10200000000000001,0.647,0.251,0.021299999999999993,0.013461538461538457,0.10833333333333332,0.8916666666666667
~ Nay,0.0,0.9490000000000001,0.051000000000000004,0.068,0.0,0.0,1.0
~ Roberto Peralta,0.0,1.0,0.0,0.0,0.0,0.0,1.0
‪+506 8968 3966‬,0.0,1.0,0.0,0.0,0.0,0.0,1.0
