autor,negativo,neutral,positivo,compuesto,polaridad,subjetivo,objetivo
Adrian,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Anthony,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Ashley Padilla,0.0,1.0,0.0,0.0,0.14285714285714285,0.26785714285714285,0.7321428571428572
Corella,0.0,1.0,0.0,0.0,0.03571428571428571,0.07142857142857142,0.9285714285714285
Dixon,0.025,0.7423,0.13269999999999998,0.10464,0.08,0.18958333333333333,0.8104166666666666
Gerard,0.01875,0.850125,0.131125,0.1040375,0.005468750000000001,0.17421875,0.82578125
Javier Hernández,0.0,0.536,0.464,0.7777,0.875,0.6000000000000001,0.3999999999999999
Jose Pablo Trejos Conejo,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Lau Villacís,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Luis Fernando Amey,0.0,0.6955714285714285,0.30442857142857144,0.20545714285714287,0.08571428571428573,0.12380952380952381,0.8761904761904763
Marco Guardia,0.0045,0.7799999999999999,0.2155,0.39461666666666667,0.09266424162257496,0.45245811287477955,0.5475418871252205
Montserrat Beirute Abarca,0.0,0.5635,0.4365,0.392,0.3,0.3,0.7
Naydelin,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Paula,0.0,0.9043333333333333,0.09566666666666666,0.21686666666666668,0.2619047619047619,0.3452380952380952,0.6547619047619048
Potoy Juárez,0.026489361702127658,0.8387304964539006,0.08512056737588652,0.1348390070921986,0.06773129185629186,0.2671942261835879,0.7328057738164121
Santiago Actuariales,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Sofía Bocker,0.06716666666666667,0.9213333333333334,0.011500000000000002,0.05893333333333333,0.0,0.0,1.0
dom,0.0,0.256,0.744,0.4404,0.2,0.2,0.8
